Sysno,ZpZveřejnění,AutořiVšichni,AutořiAV,AutořiVšichniPočet,AutořiRIV,AutořiAVPočet,AutořiKorespondující,BiblCit,BiblCitZdrD,ISBN_ISSN,ISBN_ISSN_ZdrDok,ZeměZveřejnění,Jazyk,PočStran,ImpFaktor,ProjektyCEP,ProjektyOst,VýzZáměr,OrigNázev,PřekladNázvu,KlíčSlova,AnotaceOrig,AnotaceEng,AnotaceCz,KódOborRIV,Pozn,PoznProZprac,Konference,VlastníkZáznamu,VlastníkZáznamuCZ,VlastníkZáznamuANJ,OdevzdáníDoRIV,RokVydání,RokSběru,PočetCitací,DOI,UT WOS,UT SCOPUS,HANDLE,RVO,PlnýText,Int.kód,TechnickéParametry,EkonomickéParametry,NázevVlastníka,ČísloPředpisu,ČísloPatentovéhoSpisu,VlastníkPatentu,DatumUděleníPatentu,KódVydavatelePatentu,Poddruh
"0453256","G","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko (ed.). Proceedings of Biophysical Aspects of Coherence Neural Network World Ústav informatiky AV ČR, v. v. i. roč. 5, Special issue 5 (1995), s. 649-847. ISSN 1210-0552.\\nhttp://aleph.nkp.cz/F/?func=direct&doc_number=003441734&local_base=SKC","Neural Network World. Ústav informatiky AV ČR, v. v. i. roč. 5, Special issue 5 (1995), s. 649-847","","1210-0552","CZ","","","","","","","Proceedings of Biophysical Aspects of Coherence","","","","","","","","","Biophysical Aspects of Coherence. Praha (CZ), 11.09.1995-15.09.1995","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1995","2016","","","","","http://hdl.handle.net/11104/0254099","","","","","","","","","","","",""
"0452797","J","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko. Systémy napodobující myšlení (umělé neuronové sítě) - 8. Paradigmata neuronových sítí. Slaboproudý obzor /Electronic and Informatic Horizon/ 1991, roč. 52, 11/12, P47-P54. ISSN 0037-668X.","Slaboproudý obzor /Electronic and Informatic Horizon/. 1991, roč. 52, 11/12, P47-P54","","0037-668X","CS1","cze","","","","","","Systémy napodobující myšlení (umělé neuronové sítě) - 8. Paradigmata neuronových sítí","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1991","","","","","","http://hdl.handle.net/11104/0253696","","","","","","","","","","","",""
"0452650","J","Jiřina, Marcel","Jiřina, Marcel","1","1","1","","Jiřina, Marcel. Elektricky programovatelná logická síť. Slaboproudý obzor /Electronic and Informatic Horizon/ 1991, roč. 52, č. 5, s. 125-129. ISSN 0037-668X.","Slaboproudý obzor /Electronic and Informatic Horizon/. 1991, roč. 52, č. 5, s. 125-129","","0037-668X","CS1","cze","","","","","","Elektricky programovatelná logická síť","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1991","","","","","","http://hdl.handle.net/11104/0253585","","","","","","","","","","","",""
"0449027","C","Tůma, Miroslav","Tůma, Miroslav","1","1","1","","Tůma, Miroslav. Využití prvků paralelismu při řešení rozsáhlých lineárních systémů. In Paralelné systémy Bratislava: DT ČSVTS, 1990, s. 63-64. ISBN 80-233-0032-6. [Paralelné systémy, Tatranská Lomnica, 01.04.1990-20.04.1990, CS].","In Paralelné systémy. Bratislava: DT ČSVTS, 1990, s. 63-64","","80-233-0032-6","CS1","cze","","","","","","Využití prvků paralelismu při řešení rozsáhlých lineárních systémů","","","","","","","","","Paralelné systémy. Tatranská Lomnica (CS), 01.04.1990-20.04.1990","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1990","","","","","","http://hdl.handle.net/11104/0250607","","","","","","","","","","","",""
"0447240","C","Havránek, Tomáš","Havránek, Tomáš","1","1","1","","Havránek, Tomáš. Popis a výběr modelů v mnohorozměrných kontingenčních tabulkách. In Antoch, J.; Havránek, T. (ed.). ROBUST 1980-1990. Výběr příspěvků letních a zimních škol JČSMF Praha: Státní pedagogické nakladatelství, 1991. ISBN 80-7079-014-8.","In Antoch, J.; Havránek, T. (ed.). ROBUST 1980-1990. Výběr příspěvků letních a zimních škol JČSMF. Praha: Státní pedagogické nakladatelství, 1991","","80-7079-014-8","CS1","cze","","","","","","Popis a výběr modelů v mnohorozměrných kontingenčních tabulkách","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1991","","","","","","http://hdl.handle.net/11104/0249130","","","","","","","","","","","",""
"0447238","C","Havránek, Tomáš","Havránek, Tomáš","1","1","1","","Havránek, Tomáš. O výpočetních aspektech vyhledávání modelů. Praha: JČSMF, 1990. In Antoch, J. (ed.). ROBUST 90. Sborník prací zimní školy [ROBUST '90, Liblice, 08.01.1990-12.01.1990, CS].","In Antoch, J. (ed.). ROBUST 90. Sborník prací zimní školy.","","","CS1","cze","","","","","","O výpočetních aspektech vyhledávání modelů","","","","","","","","","ROBUST '90. Liblice (CS), 08.01.1990-12.01.1990","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1990","","","","","","http://hdl.handle.net/11104/0249138","","","","","","","","","","","",""
"0443458","J","Kramosil, Ivan","Kramosil, Ivan","1","1","1","","Kramosil, Ivan. Symposium LOGICA 89. Kybernetika 1990, roč. 26, č. 4, s. 356-357. ISSN 0023-5954.\\nhttp://dml.cz/handle/10338.dmlcz/125433","Kybernetika. 1990, roč. 26, č. 4, s. 356-357","","0023-5954","CZ","eng","","","","","","Symposium LOGICA 89","","","","","","BA","","editorial","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1990","2016","","","wos:A1990DW18000011","","http://hdl.handle.net/11104/0246182","","1","","","","","","","","","",""
"0443457","J","Kramosil, Ivan","Kramosil, Ivan","1","1","1","","Kramosil, Ivan. Fundamentals of Computation Theory 1989. Kybernetika 1990, roč. 26, č. 4, s. 353-353. ISSN 0023-5954.\\nhttp://dml.cz/handle/10338.dmlcz/125433","Kybernetika. 1990, roč. 26, č. 4, s. 353-353","","0023-5954","CZ","eng","","","","","","Fundamentals of Computation Theory 1989","","","","","","BA","","editorial","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1990","2016","","","wos:A1990DW18000007","","http://hdl.handle.net/11104/0246181","","1","","","","","","","","","",""
"0443456","J","Kramosil, Ivan","Kramosil, Ivan","1","1","1","","Kramosil, Ivan. LOGICA 91. Kybernetika 1991, roč. 27, č. 6, s. 564-564. ISSN 0023-5954.\\nhttp://dml.cz/handle/10338.dmlcz/124290","Kybernetika. 1991, roč. 27, č. 6, s. 564-564","","0023-5954","CZ","eng","","","","","","LOGICA 91","","","","","","BA","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1991","2016","","","wos:A1991GV55700007","","http://hdl.handle.net/11104/0246180","","1","","","","","","","","","",""
"0434154","M","Font, J.M. - Hájek, Petr","Hájek, Petr","2","2","1","","Font, J.M.; Hájek, Petr. Lukasiewicz and Modal Logic. In Between Words and Worlds. A Festschrift for Pavel Materna Prague: Filosofia, 2000, s. 184-198. ISBN 80-7007-140-0.","In Between Words and Worlds. A Festschrift for Pavel Materna. Prague: Filosofia, 2000, s. 184-198","","80-7007-140-0","CZ","eng","15","","","","","Lukasiewicz and Modal Logic","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","2000","2015","","","","","http://hdl.handle.net/11104/0238289","","","","","","","","","","","",""
"0410494","J","Darbellay, Georges A. - Sláma, Marek","Darbellay, Georges A. - Sláma, Marek","2","2","2","","Darbellay, Georges A.; Sláma, Marek. Forecasting the short-term demand for electricity. Do neural networks stand a better chance?. International Journal of Forecasting 2000, roč. 16, č. 1, s. 71-83. ISSN 0169-2070.","International Journal of Forecasting. 2000, roč. 16, č. 1, s. 71-83","","0169-2070","NL","eng","13","0.677","GA102/95/1311:GA ČR","","AV0Z1075907","Forecasting the short-term demand for electricity. Do neural networks stand a better chance?","","","We address a problem faced by every supplier of electricity, i.e. forecasting the short-term electricity consumption. The introduction of new techniques has often been justifed by invoking the nonlinearity of the problem. First, we introduce a nonlinear measure of statistical dependence. Second, we analyse the linear and the nonlinear autocorrelation functions of the Czech electric comsumption. Third, we compare the predictions of nonlinear models with linear models.","","","BB","","","","UTIA-B","Ústav teorie informace a automatizace AV ČR, v. v. i.","Institute of Information Theory and Automation of the ASCR, v. v. i.","1","2000","","","","","","http://hdl.handle.net/11104/0130583","","","","","","","","","","","",""
"0409926","C","Klán, Petr - Maršík, Jaroslav - Wilkie, J. - Gorez, R. - Smrček, F. - Krejčí, L.","Klán, Petr - Maršík, Jaroslav","6","6","2","","Klán, Petr; Maršík, Jaroslav; Wilkie, J.; Gorez, R.; Smrček, F.; Krejčí, L. Industrial controller ZEPADIG 10 self-tuning and autotuning algorithms. Brussels: EUCA, 1997. In Bastin, G.; Gevers, M. (ed.). European Control Conference [ECC '97 /4./, Brussels, 01.07.1997-04.07.1997, BE].","In Bastin, G.; Gevers, M. (ed.). European Control Conference.","","","BE","eng","","","","","","Industrial controller ZEPADIG 10 self-tuning and autotuning algorithms","","","","","","BD","","","ECC '97 /4./. Brussels (BE), 01.07.1997-04.07.1997","UTIA-B","Ústav teorie informace a automatizace AV ČR, v. v. i.","Institute of Information Theory and Automation of the ASCR, v. v. i.","1","1997","","","","","","http://hdl.handle.net/11104/0130018","","","","","","","","","","","",""
"0409684","C","Gao, Hong - Kárný, Miroslav - Sláma, Marek","Gao, Hong - Kárný, Miroslav - Sláma, Marek","3","3","3","","Gao, Hong; Kárný, Miroslav; Sláma, Marek. Performance of feasible Markov chain-based predictors for nonlinear systems. Brussels: EUCA, 1997. In Bastin, G.; Gevers, M. (ed.). European Control Conference [ECC '97 /4./, Brussels, 01.07.1997-04.07.1997, BE].\\nhttp://library.utia.cas.cz/prace/970142.ps.zip","In Bastin, G.; Gevers, M. (ed.). European Control Conference.","","","BE","eng","","","","A2075606:GA AV:CZ - A2075603:GA AV:CZ","","Performance of feasible Markov chain-based predictors for nonlinear systems","","","","","","","","","ECC '97 /4./. Brussels (BE), 01.07.1997-04.07.1997","UTIA-B","Ústav teorie informace a automatizace AV ČR, v. v. i.","Institute of Information Theory and Automation of the ASCR, v. v. i.","","1997","","","","","","http://hdl.handle.net/11104/0129779","","","","","","","","","","","",""
"0409680","B","Kárný, Miroslav - Warwick, K. - Kůrková, Věra","Kárný, Miroslav - Kůrková, Věra","3","3","2","","Kárný, Miroslav (ed.); Warwick, K. (ed.); Kůrková, Věra (ed.). Dealing with Complexity. A Neural Networks Approach Berlin: Springer, 1997. 308 s. Perspectives in Neural Computing. ISBN 3-540-76160-8.","","3-540-76160-8","","DE","eng","308","","","A2075603:GA AV:CZ - A2075606:GA AV:CZ - CP 94:1174:Copernicus:XE - CP 94:1320:Copernicus:XE","","Dealing with Complexity. A Neural Networks Approach","","","","","","","","","","UTIA-B","Ústav teorie informace a automatizace AV ČR, v. v. i.","Institute of Information Theory and Automation of the ASCR, v. v. i.","","1997","","","10.1007/978-1-4471-1523-6","","","http://hdl.handle.net/11104/0129775","","","","","","","","","","","",""
"0409616","J","Krejčí, Radovan - Bartoš, M. - Dvořák, Jan - Nedoma, Jiří - Stehlík, J.","Krejčí, Radovan - Dvořák, Jan - Nedoma, Jiří","5","5","3","","Krejčí, Radovan; Bartoš, M.; Dvořák, Jan; Nedoma, Jiří; Stehlík, J. 2D and 3D finite element pre- and post-processing in orthopaedy. International Journal of Medical Informatics 1997, roč. 45, č. 1, s. 83-89. ISSN 1386-5056.","International Journal of Medical Informatics. 1997, roč. 45, č. 1, s. 83-89","","1386-5056","GB","eng","","","","","","2D and 3D finite element pre- and post-processing in orthopaedy","","","","","","","","","","UTIA-B","Ústav teorie informace a automatizace AV ČR, v. v. i.","Institute of Information Theory and Automation of the ASCR, v. v. i.","","1997","","","","","","http://hdl.handle.net/11104/0129711","","","","","","","","","","","",""
"0409554","J","Haindl, Michal - Wiedermann, Jiří","Haindl, Michal - Wiedermann, Jiří","2","2","2","","Haindl, Michal; Wiedermann, Jiří. ERCIM meetings in Prague. ERCIM News 1997, č. 28, s. 2-3.\\nhttp://www.ercim.eu/publication/Ercim_News/enw28/meetings.html","ERCIM News. 1997, č. 28, s. 2-3","","","FR","eng","","","","","","ERCIM meetings in Prague","","","","","","","","","","UTIA-B","Ústav teorie informace a automatizace AV ČR, v. v. i.","Institute of Information Theory and Automation of the ASCR, v. v. i.","","1997","","","","","","http://hdl.handle.net/11104/0129650","","","","","","","","","","","",""
"0409112","C","Kočvara, Michal - Rozložník, Miroslav - Xanthis, L. S.","Kočvara, Michal - Rozložník, Miroslav","3","3","2","","Kočvara, Michal; Rozložník, Miroslav; Xanthis, L. S. On iterative solvers for the method of arbitrary lines. Athens: Hellenic Mathematical Society, 1994. In Lipitakis, E. A. (ed.). Proceedings of the Second Hellenic European Conference on Mathematics and Informatics, s. 261-272 [HERMIS '94 /2./, Athens, 22.09.1994-24.09.1994, GR].","In Lipitakis, E. A. (ed.). Proceedings of the Second Hellenic European Conference on Mathematics and Informatics., s. 261-272","","","GR","eng","","","","A175101:GA AV:CZ","","On iterative solvers for the method of arbitrary lines","","","","","","","","","HERMIS '94 /2./. Athens (GR), 22.09.1994-24.09.1994","UTIA-B","Ústav teorie informace a automatizace AV ČR, v. v. i.","Institute of Information Theory and Automation of the ASCR, v. v. i.","","1994","","","","","","http://hdl.handle.net/11104/0129213","","","","","","","","","","","",""
"0409046","C","Smid, J. - Volf, Petr - Sláma, Marek - Paluš, Milan","Volf, Petr - Sláma, Marek - Paluš, Milan","4","4","3","","Smid, J.; Volf, Petr; Sláma, Marek; Paluš, Milan. Linear and nonlinear trending and prediction for AVHRR time series data. Greenbelt: NASA, 1995. In Hostetter, C. F. (ed.). 1995 Goddard Conference on Space Applications of Artificial Intelligence and Emerging Information Technologies, s. 209-220 [Goddard Conference on Space Applications of Artificial Intelligence, Greenbelt, 09.05.1995-11.05.1995, US].","In Hostetter, C. F. (ed.). 1995 Goddard Conference on Space Applications of Artificial Intelligence and Emerging Information Technologies., s. 209-220","","","US","eng","","","","","","Linear and nonlinear trending and prediction for AVHRR time series data","","","","","","","","","Goddard Conference on Space Applications of Artificial Intelligence. Greenbelt (US), 09.05.1995-11.05.1995","UTIA-B","Ústav teorie informace a automatizace AV ČR, v. v. i.","Institute of Information Theory and Automation of the ASCR, v. v. i.","","1995","","","","","","http://hdl.handle.net/11104/0129148","","","","","","","","","","","",""
"0408504","C","Kramosil, Ivan","Kramosil, Ivan","1","1","1","","Kramosil, Ivan. Extensionality and Intensionality Principles in Uncertainty Processing. In Svoboda, V.; Zapletal, I. (ed.). LOGICA '91. Proceedings of the International Symposium Praha: FÚ ČSAV, 1991, s. 173-187. ISBN 80-7007-023-4. [LOGICA '91, Bechyně, 15.04.1991-17.04.1991, CS].","In Svoboda, V.; Zapletal, I. (ed.). LOGICA '91. Proceedings of the International Symposium. Praha: FÚ ČSAV, 1991, s. 173-187","","80-7007-023-4","CS1","eng","","","","","","Extensionality and Intensionality Principles in Uncertainty Processing","","","","","","","","","LOGICA '91. Bechyně (CS), 15.04.1991-17.04.1991","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1991","","","","","","http://hdl.handle.net/11104/0128608","","","","","","","","","","","",""
"0408496","J","Kramosil, Ivan","Kramosil, Ivan","1","1","1","","Kramosil, Ivan. Comparing Alternative Definitions of Boolean-Valued Fuzzy Sets. Kybernetika 1992, roč. 28, č. 6, s. 425-443. ISSN 0023-5954.\\nhttp://dml.cz/handle/10338.dmlcz/125349","Kybernetika. 1992, roč. 28, č. 6, s. 425-443","","0023-5954","CS1","eng","","","","","","Comparing Alternative Definitions of Boolean-Valued Fuzzy Sets","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1992","","","","wos:A1992KQ82100001","","http://hdl.handle.net/11104/0128600","","1","","","","","","","","","",""
"0408320","C","Kramosil, Ivan","Kramosil, Ivan","1","1","1","","Kramosil, Ivan. Parallel Probabilistic Searching Algorithms on Systolic Arrays. In Víšek, J. Á. (ed.). Transactions of the Eleventh Prague Conference on Information Theory, Statistical Decision Functions, Random Processes Vol. B. Prague: Academia, 1992, s. 119-134. ISBN 80-200-0398-3. [Prague Conference on Information Theory, Statistical Decision Functions, Random Processes /11./, Prague, 27.08.1990-31.08.1990, CS].","In Víšek, J. Á. (ed.). Transactions of the Eleventh Prague Conference on Information Theory, Statistical Decision Functions, Random Processes. Vol. B. Prague: Academia, 1992, s. 119-134","","80-200-0398-3","CS1","eng","","","","","","Parallel Probabilistic Searching Algorithms on Systolic Arrays","","","","","","","","","Prague Conference on Information Theory, Statistical Decision Functions, Random Processes /11./. Prague (CS), 27.08.1990-31.08.1990","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1992","","","","wos:A1992BW64T00047","","http://hdl.handle.net/11104/0128425","","","","","","","","","","","",""
"0408291","J","Kramosil, Ivan","Kramosil, Ivan","1","1","1","","Kramosil, Ivan. From an Alternative Model of Rough Sets to Fuzzy Sets. Kybernetika 1992, roč. 28, Suppl., s. 12-16.\\nhttp://dml.cz/handle/10338.dmlcz/124210","Kybernetika. 1992, roč. 28, Suppl., s. 12-16","","","CS1","eng","","","","","","From an Alternative Model of Rough Sets to Fuzzy Sets","","","","","","","","","International Symposium on Fuzzy Approach to Reasoning and Decision Making. Bechyně, 25.06.1990-29.06.1990","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1992","","","","wos:A1992KK52400003","","http://hdl.handle.net/11104/0128396","","1","","","","","","","","","",""
"0408290","J","Kramosil, Ivan","Kramosil, Ivan","1","1","1","","Kramosil, Ivan. An Alternative Approach to Rough Sets. Kybernetika 1992, roč. 28, č. 1, s. 1-25.\\nhttp://dml.cz/handle/10338.dmlcz/124969","Kybernetika. 1992, roč. 28, č. 1, s. 1-25","","","CS1","eng","","","","","","An Alternative Approach to Rough Sets","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1992","","","","wos:A1992KJ42600001","","http://hdl.handle.net/11104/0128395","","1","","","","","","","","","",""
"0408145","C","Kramosil, Ivan","Kramosil, Ivan","1","1","1","","Kramosil, Ivan. Extensional Processing of Probability Measures. In Workshop on Uncertainty Processing in Expert Systems Prague: ÚTIA ČSAV, 1991, nestr. [WUPES '91, Alšovice, 09.09.1991-12.09.1991, CS].","In Workshop on Uncertainty Processing in Expert Systems. Prague: ÚTIA ČSAV, 1991, nestr","","","CS1","eng","","","","","","Extensional Processing of Probability Measures","","","","","","","","","WUPES '91. Alšovice (CS), 09.09.1991-12.09.1991","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1991","","","","","","http://hdl.handle.net/11104/0128250","","","","","","","","","","","",""
"0408130","J","Kramosil, Ivan","Kramosil, Ivan","1","1","1","","Kramosil, Ivan. Definition and Recognition of Classical Sets by the Rough Ones. Problems of Control and Information Theory 1991, roč. 20, č. 2, s. 77-95. ISSN 0370-2529.","Problems of Control and Information Theory. 1991, roč. 20, č. 2, s. 77-95","","0370-2529","HU","eng","","","","","","Definition and Recognition of Classical Sets by the Rough Ones","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1991","","1","","wos:A1991FY11300001","2-s2.0-0025757571","http://hdl.handle.net/11104/0128235","","","","","","","","","","","",""
