Sysno,ZpZveřejnění,AutořiVšichni,AutořiAV,AutořiVšichniPočet,AutořiRIV,AutořiAVPočet,AutořiKorespondující,BiblCit,BiblCitZdrD,ISBN_ISSN,ISBN_ISSN_ZdrDok,ZeměZveřejnění,Jazyk,PočStran,ImpFaktor,ProjektyCEP,ProjektyOst,VýzZáměr,OrigNázev,PřekladNázvu,KlíčSlova,AnotaceOrig,AnotaceEng,AnotaceCz,KódOborRIV,Pozn,PoznProZprac,Konference,VlastníkZáznamu,VlastníkZáznamuCZ,VlastníkZáznamuANJ,OdevzdáníDoRIV,RokVydání,RokSběru,PočetCitací,DOI,UT WOS,UT SCOPUS,HANDLE,RVO,PlnýText,Int.kód,TechnickéParametry,EkonomickéParametry,NázevVlastníka,ČísloPředpisu,ČísloPatentovéhoSpisu,VlastníkPatentu,DatumUděleníPatentu,KódVydavatelePatentu,Poddruh
"0457042","C","Kalina, Jan - Zvárová, Jana","Kalina, Jan - Zvárová, Jana","2","2","2","","Kalina, Jan; Zvárová, Jana. Perspectives of Information-based Methods in Medicine: An Outlook for Mental Health Care. In BIOSTEC 2016 - HEALTHINF Vol. 5. Lisbon: Scitepress, 2016, s. 365-370. ISBN 978-989-758-170-0. [HEALTHINF 2016. International Conference on Health Informatics /9./, Rome, 21.02.2016-23.02.2016, IT].","In BIOSTEC 2016 - HEALTHINF. Vol. 5. Lisbon: Scitepress, 2016, s. 365-370","","978-989-758-170-0","PT","eng","6","","","Neuron:Nadační fond na podporu vědy:CZ","","Perspectives of Information-based Methods in Medicine: An Outlook for Mental Health Care","","information-based medicine - psychiatry - telemedicine - molecular genetics - cognitive neuroscience","Information-based medicine represents a concept characterizing the future ideal of medical practice overcoming the limitations of the popular concept of evidence-based medicine. The potential of information-based medicine is catalyzed by recent development of new technologies and basic research allowing to acquire a new medical knowledge relevant for an individual patient. The paper is focused on the specialty field of psychiatry. We discuss the challenges for the development of information-based psychiatry from the point of view of medical informatics together with its specific barriers and constraints. We discuss the development of telemedicine tools for psychiatric care, so far making mainly a disappointing experience. Medical informatics will also play the role in making results of basic research available to the psychiatrist at the point of care. Research results e.g. in molecular genetics or cognitive neuroscience will require to collect and analyze massive data on an individual patient. If these data are properly combined from various sources and analyzed, they represent an enormous potential for bringing a new psychiatric knowledge closer to an individual patient. This may contribute to improving the availability of psychiatric care and bringing its desirable destigmatization and humanization.","","","IN","","","HEALTHINF 2016. International Conference on Health Informatics /9./. Rome (IT), 21.02.2016-23.02.2016","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2016","2016","","10.5220/0005771603650370","","2-s2.0-84969268569","http://hdl.handle.net/11104/0257483","RVO:67985807","0","","","","","","","","","",""
"0457040","J","Kalina, Jan - Zvárová, Jana","Kalina, Jan - Zvárová, Jana","2","2","2","","Kalina, Jan; Zvárová, Jana. Clinical Decision Support: Statistical Hopes and Challenges. International Journal on Biomedicine and Healthcare 2016, roč. 4, č. 1, s. 30-34. ISSN 1805-8698.","International Journal on Biomedicine and Healthcare. 2016, roč. 4, č. 1, s. 30-34","","1805-8698","CZ","eng","5","","","Neuron:Nadační fond na opdporu vědy:CZ","","Clinical Decision Support: Statistical Hopes and Challenges","","decision support - data mining - multivariate statistics - psychiatry - information based medicine","Clinical decision support systems and the challenges of constructing their classification rules by means of methods of multivariate statistics and/or data mining are presented. More details are given about two applications: the system for selecting relevant information for decision support and decision support in psychiatry. Finally the concept of information-based medicine is discussed.","","","BB","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2016","2016","","","","","http://hdl.handle.net/11104/0257482","RVO:67985807","0","","","","","","","","","",""
"0457036","C","Kalina, Jan - Hlinka, Jaroslav","Kalina, Jan - Hlinka, Jaroslav","2","2","2","","Kalina, Jan; Hlinka, Jaroslav. Highly Robust Classification: A Regularized Approach for Omics Data. In BIOSTEC 2016 - BIOINFORMATICS Vol. 3. Lisbon: Scitepress, 2016, s. 17-26. ISBN 978-989-758-170-0. [BIOINFORMATICS 2016. International Conference on Bioinformatics Models, Methods and Algorithms /7./, Rome, 21.02.2016-23.02.2016, IT].","In BIOSTEC 2016 - BIOINFORMATICS. Vol. 3. Lisbon: Scitepress, 2016, s. 17-26","","978-989-758-170-0","PT","eng","10","","GA13-23940S:GA ČR","ED2.1.00/03.0078:GA MŠk:CZ","","Highly Robust Classification: A Regularized Approach for Omics Data","","high-dimensional data - classification analysis - robustness - outliers - regularization","Various regularized approaches to linear discriminant analysis suffer from sensitivity to the presence of outlying measurements in the data. This work has the aim to propose new versions of regularized linear discriminant analysis suitable for high-dimensional data contaminated by outliers. We use principles of robust statistics to propose classification methods suitable for data with the number of variables exceeding the number of observations. Particularly, we propose two robust regularized versions of linear discriminant analysis, which have a high breakdown point. For this purpose, we propose a regularized version of the minimum weighted covariance determinant estimator, which is one of highly robust estimators of multivariate location and scatter. It assigns implicit weights to individual observations and represents a unique attempt to combine regularization and high robustness. Algorithms for the efficient computation of the new classification methods are proposed and the performance of these methods is illustrated on real data sets.","","","IN","","","BIOINFORMATICS 2016. International Conference on Bioinformatics Models, Methods and Algorithms /7./. Rome (IT), 21.02.2016-23.02.2016","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2016","2016","","10.5220/0005623500170026","","2-s2.0-84969262219","http://hdl.handle.net/11104/0257480","RVO:67985807","0","","","","","","","","","",""
"0457016","C","Křen, T. - Neruda, Roman","Neruda, Roman","2","2","1","","Křen, T.; Neruda, Roman. A Dynamic Programming Approach to Individual Initialization in Genetic Programming. In Proceedings of The 2015 IEEE International Conference on Systems, Man and Cybernetics Los Alamitos: IEEE, 2015, s. 1752-1757. ISBN 978-1-4799-8696-5. [SMC 2015. International Conference on Systems, Man and Cybernetics, Hong Kong, 09.10.2015-12.10.2015, HK].","In Proceedings of The 2015 IEEE International Conference on Systems, Man and Cybernetics. Los Alamitos: IEEE, 2015, s. 1752-1757","","978-1-4799-8696-5","US","eng","6","","GA15-18108S:GA ČR","187115:GA UK:CZ - 260 224:SVV:CZ","","A Dynamic Programming Approach to Individual Initialization in Genetic Programming","","genetic programming - initialization - dynamic programming","In this paper we present a new initialization method for genetic programming based on randomized exhaustive enumeration. It naturally enables complete sharing of sub trees among individuals which in turn allows an efficient reuse of computations. Moreover, it can be implemented as a random one pass initialization. We present experimental results on different instances of simple symbolic regression exploring the landscape of possible initializations based on our approach and confirming the usability of these initializations.","","","IN","","","SMC 2015. International Conference on Systems, Man and Cybernetics. Hong Kong (HK), 09.10.2015-12.10.2015","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2015","2016","","10.1109/SMC.2015.307","wos:000368940201139","2-s2.0-84964426837","http://hdl.handle.net/11104/0257465","RVO:67985807","0","","","","","","","","","",""
"0457014","C","Turčičová, Marie - Mandel, Jan - Eben, Kryštof","Turčičová, Marie - Mandel, Jan - Eben, Kryštof","3","3","3","","Turčičová, Marie; Mandel, Jan; Eben, Kryštof. Covariance Modeling by Means of Eigenfunctions of Laplace Operator. In JSM 2015 Proceedings Alexandria: ASA, 2015, s. 3454-3461. ISBN 978-0-9839375-5-5. [JSM 2015, Seattle, 08.08.2015-13.08.2015, US].","In JSM 2015 Proceedings. Alexandria: ASA, 2015, s. 3454-3461","","978-0-9839375-5-5","US","eng","8","","GA13-34856S:GA ČR","DMS-1216481:NSF:US","","Covariance Modeling by Means of Eigenfunctions of Laplace Operator","","data assimilation - discrete Fourier transform - spectral - diagonal covariance - maximum likelihood","Large dimension of both state vector and data is a well-known challenge in environmental modeling (e.g., numerical weather forecast) and, in particular, in data assimilation. The Ensemble Kalman Filter addresses this problem by estimating the current system state and its uncertainty via their sample counterparts. However, sample covariance matrix based on a small ensemble is not a sufficiently good estimate of the true covariance. In this paper, we deal with techniques relying on transformation of the state to the spectral space and assuming a particular covariance structure based on the Laplace operator. Parameters, which this special structure depends on, are estimated by a least squares method and a maximum likelihood method. The behavior of both estimators is illustrated by a simulation. Both methods have a smaller error in Frobenius norm than the sample covariance, moreover, the latter method performs better than the former one, which corresponds to its stronger assumptions.","","","BB","","","JSM 2015. Seattle (US), 08.08.2015-13.08.2015","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2015","2016","","","","","http://hdl.handle.net/11104/0257464","RVO:67985807","0","","","","","","","","","",""
"0456873","J","Frolov, A. A. - Húsek, Dušan - Silchenko, A.V. - Tintěra, J. - Rydlo, J.","Húsek, Dušan","5","5","1","","Frolov, A. A.; Húsek, Dušan; Silchenko, A.V.; Tintěra, J.; Rydlo, J. Izmenenija gemodinamičeskoj aktivnosti mozga pri voobraženii dviženij v rezultate trenirovki ispytujemych na upravlenije interfejsom mozg-kompjuter. Fiziologiya cheloveka 2016, roč. 42, č. 1, s. 5-18. ISSN 0131-1646.","Fiziologiya cheloveka. 2016, roč. 42, č. 1, s. 5-18","","0131-1646","RU","rus","14","","ED1.1.00/02.0070:GA MŠk","EE.2.3.20.0073:GA MŠk:CZ","","Izmenenija gemodinamičeskoj aktivnosti mozga pri voobraženii dviženij v rezultate trenirovki ispytujemych na upravlenije interfejsom mozg-kompjuter","","","S pomoščju funkcionalnoj magnitno-rezonansnoj tomografii (fMRT) issledovali izmenenija gemodinamičeskojj aktivnosti mozga pri voobražhenii dviženij konečnostej v rezultate trenirovki zdorovych ispytuemych na upravlenie interfejsom mozg-kompjuter (IMK), osnovannym na raspoznavanii patternov EEG, sootvetstvujuščich voobraženiju dviženij. S pomoščju dispersionnogo analiza ANOVA vyjavleno 14 oblastej mozga, v kotorych izmenenija statistčheski značimy. Bolee detalnyj analiz putem sravnenija aktivnostej v etich oblastach do i posle trenirovki po kriterijam Stjudenta i MannaUitni umenšil čislo oblastej so značimym izmeneniem do pjati: polja Brodmana 44 i 45, ostrovok, srednaja lobnaja izvilina i perednaja pojasnaja izvilina. Predpolagaetsa, što eti izmenenija obuslovleny formirovaniem sledov pamjati na te patterny aktivnosti mozga, kotorye naibolee dostoverno raspoznajutsa klassifikatorom IMK kak sootvetstvujuščie voobraženiju dvžhenij razlčnych konečnostej. Imelas takže javno vyražennaja tendencija k uveličeniju v rezultate trenirovki aktivnosti pri voobraženii dviženij. Aktivnost vo vsech 14 rassmotrennych oblastjach otličalas neznačimo ili byla značimo vysše pri soveršenii, čem pri voobraženii, dvžhenij, a aktivnost vo vsech oblastach, krome pervičnych oblastej predstavitelstva ruk, byla vyše pri voobraženii dviženija nog, čem pri voobraženii dvžhenija ruk.","","","IN","","do RIV se hlásí překlad ze Springer","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","2016","2016","","10.7868/S0131164616010082","","","http://hdl.handle.net/11104/0257400","RVO:67985807","0","","","","","","","","","",""
"0456834","C","Nedoma, Jiří","Nedoma, Jiří","1","1","1","","Nedoma, Jiří. Dynamic Contact Problems in Bone Neoplasm Analyses and the Primal-Dual Active Set (PDAS) Method. In Brandts, J.; Korotov, S.; Křížek, M.; Segeth, K.; Šístek, J.; Vejchodský, T. (ed.). Applications of Mathematics 2015 Prague: Institute of Mathematics CAS, 2015, s. 158-183. ISBN 978-80-85823-65-3. [Applications of Mathematics 2015, Prague, 18.11.2015-21.11.2015, CZ].\\nhttp://am2015.math.cas.cz/proceedings/contributions/nedoma.pdf","In Brandts, J.; Korotov, S.; Křížek, M.; Segeth, K.; Šístek, J.; Vejchodský, T. (ed.). Applications of Mathematics 2015. Prague: Institute of Mathematics CAS, 2015, s. 158-183","","978-80-85823-65-3","CZ","eng","26","","","","","Dynamic Contact Problems in Bone Neoplasm Analyses and the Primal-Dual Active Set (PDAS) Method","","dynamic contact problems - mathematical models of neoplasms - tumors and cysts - Coulomb and Tresca frictions - variational formulation - semi-implicit scheme - FEM - mortar approximation - PDAS algorithm","In the contribution growths of the neoplasms (benign and malignant tumors and cysts), located in a system of loaded bones, will be simulated. The main goal of the contribution is to present the useful methods and efficient algorithms for their solutions. Because the geometry of the system of loaded and possible fractured bones with enlarged neoplasms changes in time, the corresponding mathematical models of tumor’s and cyst’s evolutions lead to the coupled free boundary problems and the dynamic contact problems with or without friction. The discussed parts of these models will be based on the theory of dynamic contact problems without or with Tresca or Coulomb frictions in the visco-elastic rheology. The numerical solution of the problem with Coulomb friction is based on the semi-implicit scheme in time and the finite element method in space, where the Coulomb law of friction at every time level will be approximated by its value from the previous time level. The algorithm for the corresponding model of friction will be based on the discrete mortar formulation of the saddle point problem and the primal-dual active set algorithm. The algorithm for the Coulomb friction model will be based on the fixpoint algorithm, that will be an extension of the PDAS algorithm for the Tresca friction. In this algorithm the friction bound is iteratively modified using the normal component of the Lagrange multiplier. Thus the friction bound and the active and inactive sets are updated in every step of the iterative algorithm and at every time step corresponding to the semi-implicit scheme.","","","BA","","","Applications of Mathematics 2015. Prague (CZ), 18.11.2015-21.11.2015","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2015","2016","","","","","http://hdl.handle.net/11104/0257300","RVO:67985807","1","","","","","","","","","",""
"0456732","J","Fassbender, H. - Rozložník, Miroslav","Rozložník, Miroslav","2","2","1","","Fassbender, H.; Rozložník, Miroslav. On the Conditioning of Factors in the SR Decomposition. Linear Algebra and Its Applications 2016, roč. 505, 15 September, s. 224-244. ISSN 0024-3795.","Linear Algebra and Its Applications. 2016, roč. 505, 15 September, s. 224-244","","0024-3795","US","eng","21","0.965","GA13-06684S:GA ČR","","","On the Conditioning of Factors in the SR Decomposition","","SR decomposition - symplectic matrices - skew-symmetric bilinear forms - orthogonalization - condition number","Almost every nonsingular matrix can be decomposed into the product of a symplectic matrix and an upper J-triangular matrix. This decomposition is not unique. In this paper we analyze the freedom of choice in the symplectic and the upper J-triangular factors and review several existing suggestions on how to choose the free parameters in the SR decomposition. In particula we consider two choices leading to the minimization of the condition number of the diagonal blocks in the upper J-triangular factor and to the minimization of the conditioning of the corresponding blocks in the symplectic factor. We develop bounds for the extremal singular values of the whole upper J-triangular factor and the whole symplectic factor in terms of the spectral properties of even-dimensioned principal submatrices of the skew-symmetric matrix associated with the SR decomposition. The theoretical results are illustrated on a small illustrative example.","","","BA","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2016","2017","","10.1016/j.laa.2016.04.038","wos:000378464500013","2-s2.0-84966714537","http://hdl.handle.net/11104/0257207","RVO:67985807","0","","","","","","","","","",""
"0456643","J","Chabada, T. - Hampejs, T. - Skalík, J. - Bujnošková, E. - Hlinka, Jaroslav","Hlinka, Jaroslav","5","5","1","","Chabada, T.; Hampejs, T.; Skalík, J.; Bujnošková, E.; Hlinka, Jaroslav. Connecting to Nature in the Lab through “Earth Song”: The Malleability of Implicit and Explicit Attitudes towards Nature. Sociální studia 2015, roč. 12, č. 3, s. 113-133. ISSN 1214-813X.","Sociální studia. 2015, roč. 12, č. 3, s. 113-133","","1214-813X","CZ","eng","21","","","A/0769/2013:MUNI:CZ","","Connecting to Nature in the Lab through “Earth Song”: The Malleability of Implicit and Explicit Attitudes towards Nature","","Environmental attitudes - Connectedness to Nature Scale - New Ecological Paradigm Scale - Implicit Association Test - implicit attitudes - context sensitivity","The focus of our empirical study was to determine whether a short laboratory-based intervention manipulating the self-nature relation through a new construct of environmental problem salience is capable of causing a situational change in implicit and explicit attitudes towards nature. We were interested in how the self would connect itself to the state of nature portrayed as a threatening problem for which the self is possibly responsible. The participants were divided into two groups based on their environmental profiles and exposed to a video clip which implied a global environmental problem. The study treatment was designed to make the environmental problem salient. We have observed a clear effect of the field of study, yet the sample size (N=77) was not sufficient for the treatment effect to be statistically significant. Our study brings mainly preliminary result and further and more robust research is needed. We observed a slight change in attitudes. The attitudes had divergent directions according to the environmental profile of the recipient. The results suggest that the participants with a low environmental profile more deeply perceived the problem as someone else’s problem and dissociated themselves from the nature framed by the treatment, while the participants with a high environmental profile accepted the problem and associated themselves with the nature framed by the treatment. Our findings are in agreement with the critique of the apocalyptical discursive pattern, which considers planned change of environmental policy with apocalyptical discursive pattern to be ineffective.","","","AN","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2015","2016","","","","2-s2.0-84957057127","http://hdl.handle.net/11104/0257142","RVO:67985807","0","","","","","","","","","",""
"0456640","J","Porubský, Štefan","Porubský, Štefan","1","1","1","","Porubský, Štefan. New Solvability Conditions for Congruence $ax\\equiv b\\pmod n$. Tatra Mountains Mathematical Publications 2015, roč. 64, č. 3, s. 93-99. ISSN 1210-3195.\\nhttp://tatra.mat.savba.sk/paper.php?id_paper=1263","Tatra Mountains Mathematical Publications. 2015, roč. 64, č. 3, s. 93-99","","1210-3195","SK","eng","7","","GAP201/12/2351:GA ČR","","","New Solvability Conditions for Congruence $ax\\equiv b\\pmod n$","","linear congruence - the greatest common divisor - number of solutions","K.Bibak et al. [arXiv:1503.01806v1 [math.NT], March 5 2015] proved that congruence ax=b (mod n) has a solution x with gcd(x,n)=t if and only if gcd(a,n/t)=gcd(b/t,n/t) thereby generalizing the result for t=1 proved by B.Alomair et al. [J. Math. Cryptol. 4 (2010), 121-148] and O.Grošek et al. [ibid. 7 (2013), 217-224]. We show that this generalized result for arbitrary t follows from that for t=1 proved in the later papers. Then we shall analyze this result from the point of view of a weaker condition that gcd(a,n/t) only divides gcd(b/t,n/t). We prove that given integers n>=1,a,b and t>=1, congruence ax=b (mod n) has a solution x with t dividing gcd(x,n) if and only if gcd(a,n/t) divides gcd(b/t,n/t).","","","BA","","inprint *** nefunkčníDOI 10.1515/tmmp-2015-0044 unor 2016","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2015","2016","","","","2-s2.0-84959270155","http://hdl.handle.net/11104/0257137","RVO:67985807","0","","","","","","","","","",""
"0456390","B","Cintula, Petr - Fermüller, C. - Noguera, Carles","Cintula, Petr - Noguera, Carles","3","3","2","","Cintula, Petr (ed.); Fermüller, C. (ed.); Noguera, Carles (ed.). Handbook of Mathematical Fuzzy Logic - Vol. 3 London: College Publications, 2015. 384 s. Studies in Logic - Mathematical Logic and Foundations, 58. ISBN 978-1-84890-193-3.","","978-1-84890-193-3","","GB","eng","384","","GF15-34650L:GA ČR","","","Handbook of Mathematical Fuzzy Logic - Vol. 3","","mathematical fuzzy logic - handbook - non-classical logic - mathematical logic - vagueness","Originating as an attempt to provide solid logical foundations for fuzzy set theory, and motivated also by philosophical and computational problems of vagueness and imprecision, Mathematical Fuzzy Logic (MFL) has become a significant subfield of mathematical logic. Research in this area focuses on many-valued logics with linearly ordered truth values and has yielded elegant and deep mathematical theories and challenging problems, thus continuing to attract an ever increasing number of researchers. This handbook provides, through its several volumes, an up-to-date systematic presentation of the best-developed areas of MFL. Its intended audience is researchers working on MFL or related fields, that may use the text as a reference book, and anyone looking for a comprehensive introduction to MFL. This handbook will be useful not only for readers interested in pure mathematical logic, but also for those interested in logical foundations of fuzzy set theory or in a mathematical apparatus suitable for dealing with some philosophical and linguistic issues related to vagueness. This third volume starts with three chapters on semantics of fuzzy logics, namely, on the structure of linearly ordered algebras, on semantic games, and on Ulam–Rényi games; it continues with an introduction to fuzzy logics with evaluated syntax, a survey of fuzzy description logics, and a study of probability on MV-algebras; and it ends with a philosophical chapter on the role of fuzzy logics in theories of vagueness.","","","BA","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2015","2016","","","","","http://hdl.handle.net/11104/0256924","RVO:67985807","","","","","","","","","","",""
"0456358","J","Běhounek, Libor - Cintula, Petr - Fermüller, C. - Kroupa, Tomáš","Běhounek, Libor - Cintula, Petr - Kroupa, Tomáš","4","4","3","","Běhounek, Libor; Cintula, Petr; Fermüller, C.; Kroupa, Tomáš. Representing Strategic Games and Their Equilibria in Many-Valued Logics. Logic Journal of the IGPL 2016, roč. 24, č. 3, s. 238-267. ISSN 1367-0751.","Logic Journal of the IGPL. 2016, roč. 24, č. 3, s. 238-267","","1367-0751","GB","eng","30","0.434","GAP402/12/1309:GA ČR - 7AMB13AT014:GA MŠk - GF15-34650L:GA ČR","P25417-G15:Austrian Science Fund:AT - I1897-N25:Austrian Science Fund:AT","","Representing Strategic Games and Their Equilibria in Many-Valued Logics","","strategic games - many-valued logics - Nash equilibria - Lukasiewicz games","We introduce the notion of logical A-games for a fairly general class of algebras A of real truth-values. This concept generalizes the Boolean games as well as the recently defined Lukasiewicz games of Marchioni and Wooldridge. We demonstrate that a wide range of strategic n-player games can be represented as logical A-games. Moreover we show how to construct, under rather general conditions, propositional formulas in the language of A that correspond to pure and mixed Nash equilibria of logical A-games.","","","BA","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2016","2017","","10.1093/jigpal/jzw004","wos:000377662400003","2-s2.0-84974667725","http://hdl.handle.net/11104/0256881","RVO:67985807","0","","","","","","","","","",""
"0456243","J","Velická, H. - Puklová, V. - Keder, J. - Brabec, Marek - Malý, Marek - Bobák, M. - Kotlík, B. - Jiřík, V. - Janout, V. - Kazmarová, H.","Brabec, Marek - Malý, Marek","10","10","2","","Velická, H.; Puklová, V.; Keder, J.; Brabec, Marek; Malý, Marek; Bobák, M.; Kotlík, B.; Jiřík, V.; Janout, V.; Kazmarová, H. Asthma Exacerbations and Symptom Variability in Children Due to Short-term Ambient Air Pollution Changes in Ostrava, Czech Republic. Central European Journal of Public Health 2015, roč. 23, č. 4, s. 292-298. ISSN 1210-7778.\\nhttp://apps.szu.cz/svi/cejph/show.php?kat=archiv/2015-4-03","Central European Journal of Public Health. 2015, roč. 23, č. 4, s. 292-298","","1210-7778","CZ","eng","7","0.525","","NT14608:GA MZd:CZ","","Asthma Exacerbations and Symptom Variability in Children Due to Short-term Ambient Air Pollution Changes in Ostrava, Czech Republic","","asthma - air pollution - short-term exposure - respiratory symptoms - children","Aim: The Ostrava region suffers from high levels of air pollution during winter inversions. We investigated the association between short-term elevations of air pollutant concentrations and worsening of respiratory problems, use of asthma medication and restriction of daily activities in asthmatic patients in Ostrava. Methods: One-hundred and forty-seven child and adolescent patients (aged 6–18 years) with a confirmed diagnosis of mild to moderate persistent asthma were included in the study. Participants' parents completed diaries covering the period of November 2013 to February 2014; this analysis included 18,228 person-days. Daily smoothed maps of outdoor concentrations of particulate matter (PM10), nitrogen dioxide (NO2) and sulphur dioxide (SO2) were constructed from routine monitoring data, and participants' daily exposures were estimated on the basis of time spent at home and at school. The associations between health outcomes and exposure to air pollutants were estimated using the multiple logistic regression method. Results: The odds ratios (OR) of the combined outcome for wheezing and/or difficulty in breathing, per 10 µg/m3 increase in the mean 24-h exposure were 1.07 (95% confidence interval 1.04–1.11) for PM10, 1.30 (1.18–1.44) for NO2, and 1.37 (1.18–1.59) for SO2. Additional inhaler use (in addition to usual medication) was also more frequent at higher air pollutant concentrations; the odds ratios per 10 µg/m3; increase in the mean 24-h exposure were 1.05 (1.02–1.07) for PM10, 1.19 (1.10–1.30) for NO2, and 1.26 (1.11–1.43) for SO2. Associations were less consistent for other health outcomes. Conclusions: These results suggest moderately strong associations between air pollutant concentrations and respiratory difficulties among asthmatic children and adolescents. More detailed analyses are required to confirm these preliminary findings.","","","DN","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2015","2016","","","wos:000370311200003","2-s2.0-84958177889","http://hdl.handle.net/11104/0256795","RVO:67985807","0","","","","","","","","","",""
"0456199","C","Derbek, P. - Blümelová, J. - Resler, Jaroslav - Juruš, Pavel - Krč, Pavel - Vlček, O. - Benešová, N. - Bauerová, N. - Srbová, D. - Eben, Kryštof - Hrubeš, P.","Resler, Jaroslav - Juruš, Pavel - Krč, Pavel - Eben, Kryštof","11","11","4","","Derbek, P.; Blümelová, J.; Resler, Jaroslav; Juruš, Pavel; Krč, Pavel; Vlček, O.; Benešová, N.; Bauerová, N.; Srbová, D.; Eben, Kryštof; Hrubeš, P. On the Development of Urban Adaptation Strategies using Ecosystem-based Approaches to Adaptation. In Jeřábek, M. (ed.). Smart Cities Symposium Prague Piscataway: IEEE, 2015, s. 1-5. ISBN 978-1-4673-6727-1. [SCSP 2015. Smart Cities Symposium Prague, Prague, 24.06.2015-25.06.2015, CZ].","In Jeřábek, M. (ed.). Smart Cities Symposium Prague. Piscataway: IEEE, 2015, s. 1-5","","978-1-4673-6727-1","US","eng","5","","","EHP-CZ02-OV-1-036-2015:UrbanAdapt:XE","","On the Development of Urban Adaptation Strategies using Ecosystem-based Approaches to Adaptation","","anthropogenic heat - heat island - model - PALM - PET - RayMan","Selected aspects of project UrbanAdapt are described. The project deals with the adaptation of cities on changing climatic conditions. The main project objective is to start the process of preparation of cities’ adaptation strategies, developing adaptation scenarios and testing the effects and benefits of particular measures. Project team involves groups from different fields that cover various aspects of adaptation measures including economic analyses, policy making processes, education and dissemination to the public. The presented paper deals with the part of activities which are focused on modelling of adaptation measures and climatic impacts for the city of Prague. These activities include assessment of energy balance of city, in terms of interactions of solar radiation, atmosphere and urban environment. Urban environment includes not only buildings, street surfaces and vegetation, but also the processes having impact on energy balance such as the traffic, air conditioning and industry that produce anthropogenic heat which can play a role for example in summer heat waves. The ultimate goal is to assess the impact of different adaptation measures on citizens who live in environmental conditions of growing effect of urban heat island. Thus the connection between objective meteorological variables and subjective biological indices has to be investigated. The concept of Physiological Equivalent Temperature (PET) is adopted. In comparison to single values of air temperature, air humidity, global horizontal irradiance, wind speed, and other meteorological indexes, concept of PET has added value in determining the value of important biometeorological index in easily recognizable quantity such as °C. Micro-scale models can be one way to study proposed adaptation measures such as tree alleys, bodies of water, etc.","","","DG","","","SCSP 2015. Smart Cities Symposium Prague. Prague (CZ), 24.06.2015-25.06.2015","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2015","2016","","10.1109/SCSP.2015.7181549","wos:000375090600008","2-s2.0-84955451556","http://hdl.handle.net/11104/0256767","RVO:67985807","0","","","","","","","","","",""
